Setting,Scenario,Protocol,Seed,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,wan_metro,TcpCubic,44,997.159671,0.997160,7.173687,0.035726,0.000000,0.999970,comparison/wan_metro_TcpCubic_s44.flowmonitor
tcp_only,wan_metro,TcpNewReno,42,996.592679,0.996593,6.952710,0.035002,0.000000,0.999969,comparison/wan_metro_TcpNewReno_s42.flowmonitor
tcp_only,wan_metro,TcpNewReno,43,996.592679,0.996593,6.952710,0.035002,0.000000,0.999969,comparison/wan_metro_TcpNewReno_s43.flowmonitor
tcp_only,wan_metro,TcpNewReno,44,996.592679,0.996593,6.952710,0.035002,0.000000,0.999969,comparison/wan_metro_TcpNewReno_s44.flowmonitor
tcp_only,wan_metro,TcpSwift,42,995.979001,0.995979,4.033440,0.025161,0.000000,0.888717,comparison/wan_metro_TcpSwift_s42.flowmonitor
tcp_only,wan_metro,TcpSwift,43,995.979001,0.995979,4.033440,0.025161,0.000000,0.888717,comparison/wan_metro_TcpSwift_s43.flowmonitor
tcp_only,wan_metro,TcpSwift,44,995.979001,0.995979,4.033440,0.025161,0.000000,0.888717,comparison/wan_metro_TcpSwift_s44.flowmonitor
tcp_only,wifi_n,TcpBbr,42,48.948989,0.978980,52.022217,0.079725,0.000000,0.999954,comparison/wifi_n_TcpBbr_s42.flowmonitor
tcp_only,wifi_n,TcpBbr,43,49.014120,0.980282,53.163245,0.083784,0.000000,0.999914,comparison/wifi_n_TcpBbr_s43.flowmonitor
tcp_only,wifi_n,TcpBbr,44,49.036520,0.980730,52.482358,0.081809,0.000000,0.999899,comparison/wifi_n_TcpBbr_s44.flowmonitor
tcp_only,wifi_n,TcpCubic,42,49.644457,0.992889,40.111137,0.404488,0.000000,0.999398,comparison/wifi_n_TcpCubic_s42.flowmonitor
tcp_only,wifi_n,TcpCubic,43,49.644457,0.992889,40.111137,0.404488,0.000000,0.999398,comparison/wifi_n_TcpCubic_s43.flowmonitor
tcp_only,wifi_n,TcpCubic,44,49.644457,0.992889,40.111137,0.404488,0.000000,0.999398,comparison/wifi_n_TcpCubic_s44.flowmonitor
tcp_only,wifi_n,TcpNewReno,42,49.563747,0.991275,37.992404,0.338374,0.000000,0.997906,comparison/wifi_n_TcpNewReno_s42.flowmonitor
tcp_only,wifi_n,TcpNewReno,43,49.563747,0.991275,37.992404,0.338374,0.000000,0.997906,comparison/wifi_n_TcpNewReno_s43.flowmonitor
tcp_only,wifi_n,TcpNewReno,44,49.563747,0.991275,37.992404,0.338374,0.000000,0.997906,comparison/wifi_n_TcpNewReno_s44.flowmonitor
tcp_only,wifi_n,TcpSwift,42,49.663782,0.993276,35.467186,0.274594,0.000000,0.602309,comparison/wifi_n_TcpSwift_s42.flowmonitor
tcp_only,wifi_n,TcpSwift,43,49.663782,0.993276,35.467186,0.274594,0.000000,0.602309,comparison/wifi_n_TcpSwift_s43.flowmonitor
tcp_only,wifi_n,TcpSwift,44,49.663782,0.993276,35.467186,0.274594,0.000000,0.602309,comparison/wifi_n_TcpSwift_s44.flowmonitor
udp_burst,congested_heavy,TcpBbr,42,26.620399,0.053241,0.207312,0.008362,0.000000,0.872156,comparison-udp/congested_heavy_TcpBbr_s42.flowmonitor
