2026-09-10T05:51:53Z | logs/manifest.json | all scenarios | all protocols | recorded size and SHA-256 metadata are stale for plots/summary.csv, plots-udp/summary.csv, and summary/kpi_forward.csv; current CSV metrics were independently reproduced from all 288 FlowMonitor XML files within rounding tolerance | none (manifest integrity metadata only)
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_medium_TcpSwift_s42.flowmonitor | congested_medium | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_medium_TcpNewReno_s42.flowmonitor | congested_medium | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_medium_TcpCubic_s42.flowmonitor | congested_medium | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_medium_TcpBbr_s42.flowmonitor | congested_medium | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_heavy_TcpSwift_s42.flowmonitor | congested_heavy | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_heavy_TcpNewReno_s42.flowmonitor | congested_heavy | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_heavy_TcpCubic_s42.flowmonitor | congested_heavy | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_heavy_TcpBbr_s42.flowmonitor | congested_heavy | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_10g_TcpSwift_s42.flowmonitor | cross_pod_10g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_10g_TcpNewReno_s42.flowmonitor | cross_pod_10g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_10g_TcpCubic_s42.flowmonitor | cross_pod_10g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_10g_TcpBbr_s42.flowmonitor | cross_pod_10g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_20g_TcpSwift_s42.flowmonitor | cross_pod_20g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_20g_TcpNewReno_s42.flowmonitor | cross_pod_20g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_20g_TcpCubic_s42.flowmonitor | cross_pod_20g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_pod_20g_TcpBbr_s42.flowmonitor | cross_pod_20g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_dc_wan_TcpSwift_s42.flowmonitor | cross_dc_wan | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_dc_wan_TcpNewReno_s42.flowmonitor | cross_dc_wan | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_dc_wan_TcpCubic_s42.flowmonitor | cross_dc_wan | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
